clade	model_id	species	assembly_accession
Vertebrata	etb1go6q	Hydrolagus colliei	GCA_035084275.1
Vertebrata	etb1go6q	Hyla sarda	GCF_029499605.1
Vertebrata	etb1go6q	Hypanus sabinus	GCF_030144855.1
Vertebrata	etb1go6q	Hyperolius riggenbachi	GCF_040937935.1
Vertebrata	etb1go6q	Ichthyophis bannanicus	GCA_033557465.1
Vertebrata	etb1go6q	Ilisha elongata	GCA_048126385.1
Vertebrata	etb1go6q	Ilyophis sp JC 2022 1	GCA_022702415.1
Vertebrata	etb1go6q	Julidochromis regani	GCA_056152105.1
Vertebrata	etb1go6q	Kaupichthys nuchalis	GCA_978019975.1
Vertebrata	etb1go6q	Lampetra fluviatilis	GCF_964198595.1
Vertebrata	etb1go6q	Lampris incognitus	GCF_029633865.1
Vertebrata	etb1go6q	Latimeria chalumnae	GCF_037176945.1
Vertebrata	etb1go6q	Lemur catta	GCF_020740605.2
Vertebrata	etb1go6q	Lepidogalaxias salamandroides	GCA_049190665.1
Vertebrata	etb1go6q	Lepidosiren paradoxa	GCA_040581445.1
Vertebrata	etb1go6q	Lepisosteus oculatus	GCF_040954835.1
Vertebrata	etb1go6q	Leptobrachium boringii	GCA_054131545.1
Vertebrata	etb1go6q	Lestoros inca	GCA_054644205.1
Vertebrata	etb1go6q	Lethenteron reissneri	GCF_015708825.2
Vertebrata	etb1go6q	Lissotriton vulgaris	GCA_964263255.1
Vertebrata	etb1go6q	Lophius americanus	GCA_037951165.2
Vertebrata	etb1go6q	Loxodonta africana	GCF_030014295.1
Vertebrata	etb1go6q	Lynx canadensis	GCF_007474595.2
Vertebrata	etb1go6q	Macrochelys suwanniensis	GCA_033296515.1
Vertebrata	etb1go6q	Macrotis lagotis	GCF_037893015.1
Vertebrata	etb1go6q	Manis pentadactyla	GCF_030020395.1
Vertebrata	etb1go6q	Mantella aurantiaca	GCA_048565335.1
Vertebrata	etb1go6q	Megalops cyprinoides	GCF_013368585.1
Vertebrata	etb1go6q	Merluccius merluccius	GCA_964660975.1
Vertebrata	etb1go6q	Microcaecilia unicolor	GCF_901765095.2
Vertebrata	etb1go6q	Micropoecilia bifurca	GCA_052054765.1
Vertebrata	etb1go6q	Misgurnus anguillicaudatus	GCF_027580225.2
Vertebrata	etb1go6q	Mixophyes fleayi	GCF_038048845.1
Vertebrata	etb1go6q	Mobula birostris	GCF_030028105.1
Vertebrata	etb1go6q	Monodelphis domestica	GCF_027887165.1
Vertebrata	etb1go6q	Mustelus asterias	GCF_964213995.1
Vertebrata	etb1go6q	Myotis myotis	GCA_014108235.2
Vertebrata	etb1go6q	Myrichthys ocellatus	GCA_975146105.1
Vertebrata	etb1go6q	Myripristis murdjan	GCF_902150065.1
Vertebrata	etb1go6q	Myuchelys georgesi	GCA_040894355.2
Vertebrata	etb1go6q	Myxine glutinosa	GCF_964187855.1
Vertebrata	etb1go6q	Myxocyprinus asiaticus	GCF_019703515.2
Vertebrata	etb1go6q	Nansenia antarctica	GCF_963989245.1
Vertebrata	etb1go6q	Narcine bancroftii	GCF_036971445.1
Vertebrata	etb1go6q	Neoceratodus forsteri	GCA_016271365.2
Vertebrata	etb1go6q	Neosalanx taihuensis	GCA_030340665.1
Vertebrata	etb1go6q	Notamacropus eugenii	GCF_028372415.1
Vertebrata	etb1go6q	Notolepis coatsorum	GCA_963971535.1
Vertebrata	etb1go6q	Notoryctes typhlops	GCA_048126345.2
Vertebrata	etb1go6q	Nycticebus coucang	GCF_027406575.1
Vertebrata	etb1go6q	Ornithorhynchus anatinus	GCF_004115215.2
Vertebrata	etb1go6q	Orycteropus afer	GCA_054668755.1
Vertebrata	etb1go6q	Oryctolagus cuniculus	GCF_964237555.1
Vertebrata	etb1go6q	Osmerus mordax	GCF_038355195.1
Vertebrata	etb1go6q	Pan paniscus	GCF_029289425.2
Vertebrata	etb1go6q	Pangshura tecta	GCA_045781095.1
Vertebrata	etb1go6q	Parambassis ranga	GCF_900634625.2
Vertebrata	etb1go6q	Pelodytes ibericus	GCA_036172795.1
Vertebrata	etb1go6q	Pelomedusa somalica	GCA_051311615.1
Vertebrata	etb1go6q	Petromyzon marinus	GCF_048934315.1
Vertebrata	etb1go6q	Phascolarctos cinereus	GCA_003287225.3
Vertebrata	etb1go6q	Podocnemis expansa	GCA_045364815.1
Vertebrata	etb1go6q	Polymixia cf hollisterae	GCA_048537225.1
Vertebrata	etb1go6q	Polyodon spathula	GCF_017654505.1
Vertebrata	etb1go6q	Polypterus senegalus	GCF_016835505.1
Vertebrata	etb1go6q	Pomatoschistus minutus	GCA_965276375.1
Vertebrata	etb1go6q	Poromitra crassiceps	GCA_964638095.1
Vertebrata	etb1go6q	Potamotrygon marinae	GCA_055471215.1
Vertebrata	etb1go6q	Pristis pectinata	GCF_009764475.1
Vertebrata	etb1go6q	Procyon lotor	GCA_055474045.1
Vertebrata	etb1go6q	Protomyctophum parallelum	GCA_964188405.1
Vertebrata	etb1go6q	Protopterus annectens	GCF_019279795.1
Vertebrata	etb1go6q	Pseudophryne corroboree	GCF_028390025.1
Vertebrata	etb1go6q	Pterygoplichthys pardalis	GCA_050231285.1
Vertebrata	etb1go6q	Pyxicephalus adspersus	GCF_032062135.1
Vertebrata	etb1go6q	Raja brachyura	GCF_963514005.1
Vertebrata	etb1go6q	Ranitomeya imitator	GCF_032444005.1
Vertebrata	etb1go6q	Rhinatrema bivittatum	GCF_901001135.2
Vertebrata	etb1go6q	Rhinoderma darwinii	GCF_050947455.1
Vertebrata	etb1go6q	Rhinophrynus dorsalis	GCA_037306005.1
Vertebrata	etb1go6q	Rhinoraja longicauda	GCF_053455715.1
Vertebrata	etb1go6q	Rhynchocyon petersi	GCA_043290065.1
Vertebrata	etb1go6q	Rousettus aegyptiacus	GCA_014176215.2
Vertebrata	etb1go6q	Salvelinus alpinus	GCF_045679555.1
Vertebrata	etb1go6q	Sardina pilchardus	GCF_963854185.1
Vertebrata	etb1go6q	Scleropages formosus	GCF_900964775.1
Vertebrata	etb1go6q	Setipinna tenuifilis	GCA_030347295.1
Vertebrata	etb1go6q	Sigmodon hispidus	GCA_047301775.1
Vertebrata	etb1go6q	Somniosus microcephalus	GCA_052327205.1
Vertebrata	etb1go6q	Spea bombifrons	GCF_027358695.1
Vertebrata	etb1go6q	Spermophilus citellus	GCF_964194105.1
Vertebrata	etb1go6q	Sphaeramia orbicularis	GCF_902148855.1
Vertebrata	etb1go6q	Squalus acanthias	GCA_030390025.1
Vertebrata	etb1go6q	Struthio camelus	GCF_040807025.1
Vertebrata	etb1go6q	Suncus etruscus	GCF_024139225.1
Vertebrata	etb1go6q	Sus scrofa	GCF_000003025.6
Vertebrata	etb1go6q	Syngnathus acus	GCF_901709675.1
Vertebrata	etb1go6q	Tachyglossus aculeatus	GCF_015852505.1
Vertebrata	etb1go6q	Talpa europaea	GCA_964194135.1
Vertebrata	etb1go6q	Tamandua tetradactyla	GCF_023851605.1
Vertebrata	etb1go6q	Tapirus indicus	GCA_054859645.1
Vertebrata	etb1go6q	Tenrec ecaudatus	GCF_050624435.1
Vertebrata	etb1go6q	Thalassophryne amazonica	GCF_902500255.1
Vertebrata	etb1go6q	Thamnaconus septentrionalis	GCA_009823395.1
Vertebrata	etb1go6q	Thunnus albacares	GCF_914725855.1
Vertebrata	etb1go6q	Thymallus thymallus	GCA_023634145.1
Vertebrata	etb1go6q	Tiliqua scincoides	GCF_035046505.1
Vertebrata	etb1go6q	Torpedo marmorata	GCA_977017645.1
Vertebrata	etb1go6q	Trichechus inunguis	GCA_046562895.1
Vertebrata	etb1go6q	Trichosurus vulpecula	GCF_011100635.1
Vertebrata	etb1go6q	Tupaia tana	GCA_026018925.2
Vertebrata	etb1go6q	Umbra krameri	GCA_978157285.1
Vertebrata	etb1go6q	Ursus americanus	GCA_024610735.2
Vertebrata	etb1go6q	Xantusia vigilis	GCA_051940855.1
Vertebrata	etb1go6q	Zalophus californianus	GCF_009762305.2
Vertebrata	etb1go6q	Zeus faber	GCF_960531495.1
Vertebrata	etb1go6q	Zootoca vivipara	GCF_963506605.1
